ICDId;ICDCode;ICDName;ICDNameTranslated
353;A74;Klamidyal diğer hastalıklar;Other chlamydial diseases
354;A74.0†;Klamidya konjonktiviti (H13.1*);Chlamydia conjunctivitis (H13.1 *)
355;A74.8;Klamidya hastalıkları, diğer;Chlamydia diseases, other
356;A74.9;Klamidya enfeksiyonu, tanımlanmamış;Chlamydia infection, unspecified
357;A75;Tifüs;Typhus
358;A75.0;Tifüs, Rickettsia prowazekii’ye bağlı epidemik bitle taşınan;Typhus, louse-borne epidemic due to Rickettsia prowazekii
359;A75.1;Nükseden tifüs [Brill hastalığı];Recurrent typhus [Brill's disease]
360;A75.2;Tifüs, Rickettsia typhi’ye bağlı;Typhus fever due to Rickettsia typhi
361;A75.3;Tifüs, Rickettsia tsutsugamushi’ye bağlı;Typhus fever due to Rickettsia tsutsugamushi
362;A75.9;Tifüs, tanımlanmamış;Typhus fever, unspecified
363;A77;Benekli humma [kene ile taşınan riketsiyozlar];Spotted fever [tick-borne rickettsioses]
364;A77.0;Benekli humma, Ricketsia ricketsii'ye bağlı;Spotted fever due to Rickettsia rickettsii
365;A77.1;Benekli humma, Rickettsia conorii'ye bağlı;Spotted fever due to Rickettsia conorii
366;A77.2;Benekli humma, Rickettsia siberica’ya bağlı;Spotted fever due to Rickettsia siberica
367;A77.3;Benekli humma, Rickettsia australis’e bağlı;Spotted fever due to Rickettsia australis
368;A77.8;Benekli hummalar, diğer;Spotted fever, other
369;A77.9;Benekli humma, tanımlanmamış;Spotted fever, unspecified
370;A78;Q ateşi;Q fever
371;A79;Riketsiyal diğer enfeksiyonlar;Other rickettsial infections
372;A79.0;Siper ateşi;Trench fever
373;A79.1;Riketsiyal döküntü, Rickettsia akari’ye bağlı;Rickettsial rashes, due to Rickettsia akari
374;A79.8;Riketsiyozlar, diğer tanımlanmış;Rickettsioses other specified
375;A79.9;Riketsiyoz, tanımlanmamış;Rickettsioses, unspecified
376;A80;Akut poliomyelit;Acute poliomyelitis
377;A80.0;Akut paralitik poliomyelit, aşıya bağlı;Acute paralytic poliomyelitis, vaccine-related
378;A80.1;Akut paralitik poliomyelit, vahşi virüs, yabancı;Acute paralytic poliomyelitis, wild virus, imported
379;A80.2;Akut paralitik poliomyelit, vahşi virüs, yerli;Acute paralytic poliomyelitis, wild virus, indigenous
380;A80.3;Akut paralitik poliomyelit, diğer ve tanımlanmamış;Acute paralytic poliomyelitis, other and unspecified
381;A80.4;Akut nonparalitik poliomyelit;Nonparalyzed acute poliomyelitis
382;A80.9;Akut poliomyelit, tanımlanmamış;Acute poliomyelitis, unspecified
383;A81;Merkezi sinir sistemi yavaş virüs enfeksiyonları;Atypical virus infections of the central nervous system
384;A81.0;Creutzfeldt-Jakob hastalığı;Creutzfeldt-Jakob disease
385;A81.1;Subakut sklerozan panensefalit;Subacute sclerosing panencephalitis
386;A81.2;İlerleyici multifokal lökoensefalopati;Progressive multifocal leukoencephalopathy
387;A81.8;Merkezi sinir sistemi yavaş virüs enfeksiyonları, diğer;Atypical virus infections of the central nervous system, other
388;A81.9;Merkezi sinir sistemi yavaş virüs enfeksiyonları, tanımlanmamış;Atypical virus infections of the central nervous system, unspecified
389;A82;Kuduz;Rabies
390;A82.0;Orman kuduzu;Forest rabies
391;A82.1;Kent kuduzu;Urban rabies
392;A82.9;Kuduz, tanımlanmamış;Rabies, unspecified
393;A83;Viral ensefalitler, sivrisinekle taşınan;Viral encephalitis, mosquito-borne
394;A83.0;Japon ensefaliti;Japanese encephalitis
395;A83.1;Batı at ensefaliti;Western equine encephalitis
396;A83.2;Doğu at ensefaliti;Eastern equine encephalitis
397;A83.3;St Louis ensefaliti;St. Louis encephalitis
398;A83.4;Avustralya ensefaliti;Australia encephalitis
399;A83.5;Kaliforniya ensefaliti;California encephalitis
400;A83.6;Rocio virüs hastalığı;Rocio virus disease
401;A83.8;Ensefalitler, diğer, sivrisinekle taşınan;Encephalitis, another mosquito-borne
402;A83.9;Viral ensefalit sivrisinekle taşınan, tanımlanmamış;The mosquito-borne viral encephalitis, unspecified
403;A84;Viral ensefalitler, kene ile taşınan;Viral encephalitis, tick-borne
404;A84.0;Uzak Doğu ensefalit keneyle taşınan [Rus bahar-yaz ensefaliti];Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis]
405;A84.1;Orta Avrupa ensefaliti keneyle taşınan;Central European tick-borne encephalitis
406;A84.8;Viral diğer ensefalitler, keneyle taşınan;Other viral encephalitis, tick-borne
407;A84.9;Viral ensefalit keneyle taşınan, tanımlanmamış;Tick-borne viral encephalitis, unspecified
408;A85;Viral diğer ensefalitler, başka yerde sınıflanmamış;Other viral encephalitis, not elsewhere classified
409;A85.0†;Enteroviral ensefalit (G05.1*);Enteroviral encephalitis (G05.1 *)
410;A85.1†;Adenoviral ensefalit (G05.1*);Adenoviral encephalitis (G05.1 *)
411;A85.2;Artropodlarla taşınan Viral ensefalit, tanımlanmamış;Arthropod-borne viral encephalitis, unspecified
412;A85.8;Viral ensefalitler, diğer tanımlanmış;Viral encephalitis, other specified
413;A86;Viral ensefalit, tanımlanmamış;Viral encephalitis, unspecified
414;A87;Viral menenjit;viral meningitis
415;A87.0†;Enteroviral menenjit (G02.0*);Enteroviral meningitis (G02.0 *)
416;A87.1†;Adenovirüs menenjiti (G02.0*);Adenovirus meningitis (G02.0 *)
417;A87.2;Lenfositer koriomenenjit;Lymphocytic choriomeningitis
418;A87.8;Viral menenjitler, diğer;Viral meningitis, on the other
419;A87.9;Viral menenjit, tanımlanmamış;Viral meningitis, unspecified
420;A88;Merkezi sinir sistemi diğer viral enfeksiyonları, başka yerde sınıflanmamış;Other viral infections of the central nervous system, not elsewhere classified
421;A88.0;Entero virüs ekzantematöz ateşi [Boston egzantemi];Enterovirus exanthematous fever [Boston exanthema my]
422;A88.1;Epidemik vertigo;epidemic vertigo
423;A88.8;Merkezi sinir sisteminin diğer virüs enfeksiyonları, tanımlanmış;other viral infections of the central nervous system, defined
424;A89;Merkezi sinir sisteminin viral enfeksiyonları, tanımlanmamış;viral infection of the central nervous system, unspecified
425;A90;Dank ateşi [klasik dank];Danger fever [classical danger]
426;A91;Dank hemorajik ateşi;Danger hemorrhagic fever
427;A92;Viral diğer ateşler, sivrisinek ile taşınan;Other viral fevers, mosquito-borne
428;A92.0;Chikungunya virüs hastalığı;Chikungunya virus disease
429;A92.1;O'nyong-nyong ateşi;O'nyong-nyong fire
430;A92.2;Venezuela at ateşi;Venezuelan equine fever
431;A92.3;Batı Nil ateşi;West Nile fever
432;A92.4;Rift vadi ateşi;Rift Valley fever
433;A92.8;Sivrisinekle taşınan Viral ateşler, diğer, tanımlanmış;Mosquito-borne viral fevers, other specified
434;A92.9;Viral ateş sivrisinekle taşınan, tanımlanmamış;The mosquito-borne viral fever, unspecified
435;A93;Viral diğer ateşler, artropodlar ile taşınan, başka yerde sınıflanmamış;Other viral fevers arthropod-borne, not elsewhere classified
436;A93.0;Oropouche virüs hastalığı;Oropouche virus disease
437;A93.1;Kum sineği ateşi;Sandfly fever
438;A93.2;Kolorado kenesi ateşi;Colorado tick fever
439;A93.8;Viral diğer ateşler artropodla taşınan, tanımlanmış;Other arthropod-borne viral fevers, defined
440;A94;Artropod ile taşınan viral ateşler, tanımlanmamış;Arthropod-borne viral fever, unspecified
441;A95;Sarı humma;yellow fever
442;A95.0;Silvatik sarı humması;Sylvatic yellow fever
443;A95.1;Kent sarı humması;Urban yellow fever
444;A95.9;Sarı humma, tanımlanmamış;Yellow fever, unspecified
445;A96;Arena virüs hemorajik ateşi;Arena hemorrhagic fever virus
446;A96.0;Junin hemorajik ateşi;Junin hemorrhagic fever
447;A96.1;Machupo hemorajik ateşi;Machupo hemorrhagic fever
448;A96.2;Lassa ateşi;Lassa fever
449;A96.8;Arena virüs hemorajik ateşleri, diğer;Arena hemorrhagic fever viruses, other
450;A96.9;Arena virüs hemorajik ateşi, tanımlanmamış;Arenaviral haemorrhagic fever, unspecified
451;A98;Viral hemorajik ateşler, diğer, başka yerde sınıflanmamış;Viral haemorrhagic fevers, other, not elsewhere classified
452;A98.0;Kırım-Kongo hemorajik ateşi;Crimean-Congo hemorrhagic fever
453;A98.1;Omsk hemorajik ateşi;Omsk hemorrhagic fever
454;A98.2;Kyasanur orman hastalığı;Kyasanur forest disease
455;A98.3;Marburg virüsü hastalığı;Marburg virus disease
456;A98.4;Ebola virüs hastalığı;Ebola virus disease
457;A98.5;Hemorajik ateş, renal sendromla beraber;Hemorrhagic fever with renal syndrome with
458;A98.8;Viral diğer hemorajik ateşler, tanımlanmış;Other viral hemorrhagic fevers
459;A99;Viral hemorajik ateş, tanımlanmamış;Viral hemorrhagic fever, unspecified
460;B00;Herpes virüs [herpes simpleks] enfeksiyonları;Herpes virus [herpes simplex] infections
461;B00.0;Egzema herpetikum;My eczema herpetic
462;B00.1;Herpes virüs veziküler dermatiti;Herpes virus vesicular dermatitis
463;B00.2;Herpes virüs gingivostomatiti ve faringotonsilliti;The herpes virus gingivostomatitis and faringotonsillit
464;B00.3†;Herpes virüs menenjiti (G02.0*);Herpes virus meningitis (G02.0 *)
465;B00.4†;Herpes virüs ensefaliti (G05.1*);Herpes virus encephalitis (G05.1 *)
466;B00.5†;Herpes virüs göz hastalığı;Herpes virus eye disease
467;B00.7;Dissemine herpes virüs hastalığı;Disseminated herpes virus disease
468;B00.8;Herpes virüs enfeksiyonu, diğer formlar;Herpes virus infection, other forms
469;B00.9;Herpes virüs enfeksiyonu, tanımlanmamış;Herpes virus infection, unspecified
470;B01;Varisella [su çiçeği];Varicella [chickenpox]
471;B01.0†;Varisella menenjiti (G02.0*);Varicella meningitis (G02.0 *)
472;B01.1†;Varisella ensefaliti (G05.1*);Varicella encephalitis (G05.1 *)
473;B01.2†;Varisella pnömonisi (J17.1*);Varicella pneumonia (J17.1 *)
474;B01.8;Varisella, diğer komplikasyonlarla birlikte;Varicella with other complications
475;B01.9;Varisella, komplikasyonsuz;Varicella without complication
476;B02;Zoster [herpes zoster];Zoster [herpes zoster]
477;B02.0†;Zoster ensefaliti (G05.1*);Zoster encephalitis (G05.1 *)
478;B02.1†;Zoster menenjiti (G02.0*);Zoster meningitis (G02.0 *)
479;B02.2†;Zoster, diğer, merkezi sinir sistemi tutulumu ile birlikte;Zoster, other central nervous system involvement with
480;B02.3†;Zoster göz hastalığı;Zoster eye disease
481;B02.7;Dissemine Zoster ;Disseminated Zoster 
482;B02.8;Zoster, diğer komplikasyonlarla birlikte;Zoster with other complications
483;B02.9;Zoster, komplikasyonsuz;Zoster without complication
484;B03;Çiçek1;Çiçek1
485;B04;Maymun çiçeği;Monkey pox
486;B05;Kızamık;Measles
487;B05.0†;Kızamık, ensefalit komplikasyonlu (G05.1*);Measles complicated by encephalitis (G05.1 *)
488;B05.1†;Kızamık, menenjit komplikasyonlu (G02.0*);Measles complicated by meningitis (G02.0 *)
489;B05.2†;Kızamık, pnömoni komplikasyonlu (J17.1*);Measles, pneumonia complicated (J17.1 *)
490;B05.3†;Kızamık, otitis media komplikasyonlu (H67.1*);Measles complicated by otitis media (H67.1 *)
491;B05.4;Kızamık, bağırsak komplikasyonlu;Measles with intestinal complications
492;B05.8;Kızamık, diğer komplikasyonlarla birlikte;Measles with other complications
493;B05.9;Kızamık, komplikasyonsuz;Measles without complication
494;B06;Kızamıkçık [Rubella];German measles [Rubella]
495;B06.0†;Kızamıkçık, nörolojik komplikasyonlu;Rubella with neurological complications
496;B06.8;Kızamıkçık, diğer komplikasyonlarla birlikte;Rubella with other complications
497;B06.9;Kızamıkçık, komplikasyonsuz;Rubella without complication
498;B07;Viral siğiller;Viral warts
499;B08;Deri ve müköz membran lezyonları ile karakterize diğer viral enfeksiyonlar,;other characterized by skin and mucous membrane lesions, viral infections,
500;B08.0;Ortopox virüs enfeksiyonları, diğer;Ortopox virus infections, other
501;B08.1;Molluskum kontagiozum;Molluscum contagiosum
502;B08.2;Egzantema subitum [altıncı hastalık];Exanthema Subitum [sixth disease]
503;B08.3;Eritema enfeksiyozum [beşinci hastalık];Erythema infectiosum [fifth disease]
504;B08.4;Egzantemli enterovirüs veziküler stomatiti;Egzanteml of enterovirus of vesicular stomatitis
505;B08.5;Entero virüs veziküler farenjiti;Entero virus vesicular pharyngitis
506;B08.8;Deri ve mukoza membranlarında lezyonlar ile karakterize diğer tanımlanmış ;Other specific skin and mucous membrane lesions, characterized by 
507;B09;Deri ve müköz membran lezyonlarıyla karakterize viral enfeksiyon, ;Characterized by skin and mucous membrane lesions, viral infection, 
508;B15;Akut hepatit A;Acute hepatitis A
509;B15.0;Hepatit A, hepatik komalı;Hepatitis, hepatic coma
510;B15.9;Hepatit A, hepatik komasız;Hepatitis, hepatic komase
511;B16;Akut hepatit B;Acute hepatitis B.
512;B16.0;Akut hepatit B, delta ajanı (ko-enfeksiyon) ile birlikte, hepatik komalı;Acute hepatitis B, delta agent (coinfection) with hepatic coma
513;B16.1;Akut hepatit B, delta ajanı (ko-enfeksiyon) ile birlikte, hepatik komasız;Acute hepatitis B, delta agent (coinfection) with hepatic komase
514;B16.2;Akut hepatit B, delta ajansız, hepatik komalı;Acute hepatitis B delta agency hepatic coma
515;B16.9;Akut hepatit B, delta ajansız, hepatik komasız;Acute hepatitis B delta agency hepatic komase
516;B17;Akut viral hepatitler, diğer;Acute viral hepatitis, other
517;B17.0;Akut delta (süper) enfeksiyonu, hepatit B taşıyıcısında;Acute delta (super) infection of hepatitis B carrier
518;B17.1;Akut hepatit C;Acute hepatitis C
519;B17.2;Akut hepatit E;Acute hepatitis E
520;B17.8;Akut diğer viral hepatitler, tanımlanmış;Other acute viral hepatitis, defined
521;B18;Kronik viral hepatit;Chronic viral hepatitis
522;B18.0;Kronik viral hepatit B, delta ajanlı;Chronic viral hepatitis B, delta-agent
523;B18.1;Kronik viral hepatit B, delta ajansız;Chronic viral hepatitis B, delta agent-
524;B18.2;Kronik viral hepatit C;CHC
525;B18.8;Kronik viral hepatit, diğer;Chronic viral hepatitis, other
526;B18.9;Kronik viral hepatit, tanımlanmamış;Chronic viral hepatitis, unspecified
527;B19;Viral hepatit, tanımlanmamış;Unspecified viral hepatitis
528;B19.0;Viral hepatit, tanımlanmamış, hepatik koma ile birlikte;Unspecified viral hepatitis, hepatic coma with
529;B19.9;Viral hepatit, tanımlanmamış, hepatik koma olmaksızın;Unspecified viral hepatitis without hepatic coma
530;B20;İnsan immünyetmezlik virüsü [HIV] hastalığı, enfeksiyöz ve;Human immunodeficiency virus [HIV] disease, infectious and
531;B20.0;HIV hastalığı sonucu mikobakteri enfeksiyonu;Of HIV disease resulting in mycobacterial infection
532;B20.1;HIV hastalığı sonucu diğer bakteriyel enfeksiyonlar;Other bacterial infections as a result of HIV disease
533;B20.2;HIV hastalığı sonucu sitomegalovirüs hastalığı;HIV disease resulting cytomegalovirus disease
534;B20.3;HIV hastalığı sonucu diğer viral enfeksiyonlar;other viral infections as a result of HIV infection
535;B20.4;HIV hastalığı sonucu kandidiyaz;Of HIV disease resulting in candidiasis
536;B20.5;HIV hastalığı sonucu diğer mikozlar;HIV disease resulting in other mycoses
537;B20.6;HIV hastalığı sonucu Pneumocystis carinii pnömonisi;Of HIV disease resulting in Pneumocystis carinii pneumonia
538;B20.7;HIV hastalığı sonucu multipl enfeksiyon;HIV disease resulting in multiple infections
539;B20.8;HIV hastalığı sonucu diğer enfeksiyöz ve paraziter hastalıklar;other infectious and parasitic diseases as a result of HIV disease
540;B20.9;HIV hastalığı sonucu tanımlanmamış enfeksiyöz ve paraziter hastalıklar;HIV disease resulting in unspecified infectious and parasitic diseases
541;B21;İnsan immünyetmezlik virüsü [HIV] hastalığı, malign neoplazmlar ile ;Human immunodeficiency virus [HIV] disease, malignant neoplasms 
542;B21.0;HIV hastalığı sonucu Kaposi sarkomu;Of HIV disease resulting in Kaposi's sarcoma
543;B21.1;HIV hastalığı sonucu Burkitt lenfoması;HIV disease resulting in Burkitt's lymphoma
544;B21.2;HIV hastalığı sonucu diğer non-Hodgkin lenfoma türleri;other types of non-Hodgkin's lymphoma, HIV disease resulting in
545;B21.3;HIV hastalığı sonucu diğer lenfoid, hematopoetik ve ilgili dokuların malign neoplazmları;HIV disease resulting in other lymphoid, haematopoietic and related tissue Malignant neoplasms of
546;B21.7;HIV hastalığı sonucu birden fazla malign neoplazm;HIV disease resulting in multiple malignant neoplasms
547;B21.8;HIV hastalığı sonucu diğer malign neoplazmlar;HIV disease resulting in other malignant neoplasms of
548;B21.9;HIV hastalığı sonucu tanımlanmamış malign neoplazmlar;HIV disease resulting in unspecified malignant neoplasm
549;B22;İnsan immünyetmezlik virüsü [HIV] hastalığı, diğer tanımlanmış hastalıklarla ;Human immunodeficiency virus [HIV] disease resulting in other specified diseases 
550;B22.0;HIV hastalığı sonucu ensefalopati;HIV disease resulting in encephalopathy
551;B22.1;HIV hastalığı sonucu lenfoid interstisiyel pnömoni;HIV disease resulting in lymphoid interstitial pneumonitis
552;B22.2;HIV hastalığı sonucu erime sendromu;HIV disease resulting in the melting syndrome
553;B22.7;HIV hastalığı sonucu başka yerde sınıflanmış birden fazla hastalık;HIV disease resulting in multiple diseases classified elsewhere
554;B23;İnsan immünyetmezlik virüsü [HIV] hastalığı, diğer durumlar ile sonuçlanan;Human immunodeficiency virus [HIV] disease resulting in other conditions
555;B23.0;Akut HIV enfeksiyonu sendromu;Acute HIV infection syndrome
556;B23.1;HIV hastalığı sonucu (persistan) yaygın lenfadenopati;HIV disease resulting in (persistent) generalized lymphadenopathy
557;B23.2;HIV hastalığı sonucu hematolojik ve immünolojik anormallikler, başka ;HIV disease resulting in haematological and immunological abnormalities, other 
558;B23.8;HIV hastalığı sonucu diğer tanımlanmış durumlar;other defined circumstances as a result of HIV disease
559;B24;İnsan immünyetmezlik virüsü [HIV] hastalığı, tanımlanmamış,;Human immunodeficiency virus [HIV] disease, unspecified,
560;B25;Sitomegalovirüs hastalığı;Cytomegalovirus disease
